change_id,flag,decision,campaign,entity_type,entity,match_type,attribute,placement,new_value,prior_value,mechanism_metric,mechanism_level,mechanism_target,mechanism_from,check_date,outcome_keyword,outcome_rank,outcome_bound,outcome_date,fallback,rationale
L0023,ok,refund gate pause,D-LC-SP-EXACT-RAN-DO-(Curtains|Blackout)-(LINEN-CURTAIN-52x96-IVORY-2-PCS)-(96 inch curtains 2 panel set blackout),campaign,D-LC-SP-EXACT-RAN-DO-(Curtains|Blackout)-(LINEN-CURTAIN-52x96-IVORY-2-PCS)-(96 inch curtains 2 panel set blackout),,state,,paused,enabled,spend_wk,campaign,,,2026-09-15,,,,,,
L0024,ok,refund gate pause,D-LC-SP-EXACT-RAN-DO-(Curtains|Blackout)-(LINEN-CURTAIN-52x96-NATURAL-2-PCS)-(blackout curtains 92+ inches long),campaign,D-LC-SP-EXACT-RAN-DO-(Curtains|Blackout)-(LINEN-CURTAIN-52x96-NATURAL-2-PCS)-(blackout curtains 92+ inches long),,state,,paused,enabled,spend_wk,campaign,,,2026-09-15,,,,,,
L0025,ok,refund gate pause,D-LC-SP-EXACT-RAN-DO-(Curtains|Blackout|Bedroom)-(LINEN-CURTAIN-52x84-NATURAL-2-PCS)-(blackout curtains for bedroom),campaign,D-LC-SP-EXACT-RAN-DO-(Curtains|Blackout|Bedroom)-(LINEN-CURTAIN-52x84-NATURAL-2-PCS)-(blackout curtains for bedroom),,state,,paused,enabled,spend_wk,campaign,,,2026-09-15,,,,,,
L0026,ok,refund gate pause,D-Linen Curtains-SP-Exact-Ranking-Fixed-LINEN-CURTAIN-52x84-NATURAL-2-PCS-B0F639CWS1 - ivory linen curtains,campaign,D-Linen Curtains-SP-Exact-Ranking-Fixed-LINEN-CURTAIN-52x84-NATURAL-2-PCS-B0F639CWS1 - ivory linen curtains,,state,,paused,enabled,spend_wk,campaign,,,2026-09-15,,,,,,
L0027,ok,refund gate pause,D-LC-SP-EXACT-RAN-DO-(Curtains|Blackout)-(LINEN-CURTAIN-52x84-NATURAL-2-PCS)-(thermal insulated blackout curtains),campaign,D-LC-SP-EXACT-RAN-DO-(Curtains|Blackout)-(LINEN-CURTAIN-52x84-NATURAL-2-PCS)-(thermal insulated blackout curtains),,state,,paused,enabled,spend_wk,campaign,,,2026-09-15,,,,,,
L0028,ok,refund gate pause,D-LC-SP-room darkening curtains-(Blackout)-VHSV-Exact-Conv-DO-LINEN-CURTAIN-52x96-NATURAL-2-PCS,campaign,D-LC-SP-room darkening curtains-(Blackout)-VHSV-Exact-Conv-DO-LINEN-CURTAIN-52x96-NATURAL-2-PCS,,state,,paused,enabled,spend_wk,campaign,,,2026-09-15,,,,,,
L0029,ok,refund gate pause,D-LC-SP-blackout drapes-(Blackout)-HSV-Exact-Conv-DO-LINEN-CURTAIN-52x96-NATURAL-2-PCS,campaign,D-LC-SP-blackout drapes-(Blackout)-HSV-Exact-Conv-DO-LINEN-CURTAIN-52x96-NATURAL-2-PCS,,state,,paused,enabled,spend_wk,campaign,,,2026-09-15,,,,,,
L0030,ok,refund gate pause,DLC - SP - phrase-DO- LINEN-CURTAIN-52x96-G1,campaign,DLC - SP - phrase-DO- LINEN-CURTAIN-52x96-G1,,state,,paused,enabled,spend_wk,campaign,,,2026-09-15,,,,,,
L0031,ok,refund gate pause,D-Linen Curtains-SP-Exact-Ranking-Fixed-LINEN-CURTAIN-52x84-NATURAL-2-PCS-B0F639CWS1 - pinch pleated linen curtains blackout,campaign,D-Linen Curtains-SP-Exact-Ranking-Fixed-LINEN-CURTAIN-52x84-NATURAL-2-PCS-B0F639CWS1 - pinch pleated linen curtains blackout,,state,,paused,enabled,spend_wk,campaign,,,2026-09-15,,,,,,
L0032,ok,refund gate pause,D-LC-SP-EXACT-RAN-DO-(Curtains|Blackout)-(LINEN-CURTAIN-52x84-NATURAL-2-PCS)-(blackout curtains 84 inches long),campaign,D-LC-SP-EXACT-RAN-DO-(Curtains|Blackout)-(LINEN-CURTAIN-52x84-NATURAL-2-PCS)-(blackout curtains 84 inches long),,state,,paused,enabled,spend_wk,campaign,,,2026-09-15,,,,,,
L0033,ok,refund gate pause,D-LC-SP-BROAD-RAN-DO-(Curtains|Blackout)-(LINEN-CURTAIN-52x96-IVORY-2-PCS)-(ivory blackout curtains 96 inch long),campaign,D-LC-SP-BROAD-RAN-DO-(Curtains|Blackout)-(LINEN-CURTAIN-52x96-IVORY-2-PCS)-(ivory blackout curtains 96 inch long),,state,,paused,enabled,spend_wk,campaign,,,2026-09-15,,,,,,
L0034,ok,refund gate pause,D-Linen Curtains-SP-Exact-Ranking-Fixed-LINEN-CURTAIN-52x84-NATURAL-2-PCS-B0F639CWS1 - pinch pleat linen curtains,campaign,D-Linen Curtains-SP-Exact-Ranking-Fixed-LINEN-CURTAIN-52x84-NATURAL-2-PCS-B0F639CWS1 - pinch pleat linen curtains,,state,,paused,enabled,spend_wk,campaign,,,2026-09-15,,,,,,
L0035,ok,refund gate pause,D-LC-SP-EXACT-RAN-DO-(Curtains|Blackout)-(LINEN-CURTAIN-52x96-IVORY-2-PCS)-(ivory curtains blackout),campaign,D-LC-SP-EXACT-RAN-DO-(Curtains|Blackout)-(LINEN-CURTAIN-52x96-IVORY-2-PCS)-(ivory curtains blackout),,state,,paused,enabled,spend_wk,campaign,,,2026-09-15,,,,,,
L0036,ok,refund gate pause,D-LC-SP-EXACT-RAN-DO-(Curtains|Blackout)-(LINEN-CURTAIN-52x96-IVORY-2-PCS)-(blackout curtains 96),campaign,D-LC-SP-EXACT-RAN-DO-(Curtains|Blackout)-(LINEN-CURTAIN-52x96-IVORY-2-PCS)-(blackout curtains 96),,state,,paused,enabled,spend_wk,campaign,,,2026-09-15,,,,,,
L0037,ok,refund gate pause,D-LC-SP-EXACT-RAN-DO-(Curtains|Blackout|Living Room)-(LINEN-CURTAIN-52x84-NATURAL-2-PCS)-(blackout curtains for the living room),campaign,D-LC-SP-EXACT-RAN-DO-(Curtains|Blackout|Living Room)-(LINEN-CURTAIN-52x84-NATURAL-2-PCS)-(blackout curtains for the living room),,state,,paused,enabled,spend_wk,campaign,,,2026-09-15,,,,,,
L0038,ok,refund gate pause,D-LC-SP-EXACT-RAN-DO-(Curtains|Blackout)-(LINEN-CURTAIN-52x96-BEIGE-2-PCS)-(beige blackout curtains 96 inches long),campaign,D-LC-SP-EXACT-RAN-DO-(Curtains|Blackout)-(LINEN-CURTAIN-52x96-BEIGE-2-PCS)-(beige blackout curtains 96 inches long),,state,,paused,enabled,spend_wk,campaign,,,2026-09-15,,,,,,
L0039,ok,refund gate pause,D-LC-SP-blackout curtain for living room-(Blackout)-MSV-Exact-Conv-DO-LINEN-CURTAIN-52x96-NATURAL-2-PCS,campaign,D-LC-SP-blackout curtain for living room-(Blackout)-MSV-Exact-Conv-DO-LINEN-CURTAIN-52x96-NATURAL-2-PCS,,state,,paused,enabled,spend_wk,campaign,,,2026-09-15,,,,,,
L0040,ok,refund gate pause,D-LC-SP-EXACT-RAN-DO-(Curtains|Blackout)-(LINEN-CURTAIN-52x96-IVORY-2-PCS)-(warm ivory blackout curtains),campaign,D-LC-SP-EXACT-RAN-DO-(Curtains|Blackout)-(LINEN-CURTAIN-52x96-IVORY-2-PCS)-(warm ivory blackout curtains),,state,,paused,enabled,spend_wk,campaign,,,2026-09-15,,,,,,
L0041,ok,refund gate pause,D-LC-SP-BROAD-RAN-DO-(Linen|Curtains|Blackout)-(LINEN-CURTAIN-52x96-LINEN-2-PCS)-(linen blackout curtains 96 inch long),campaign,D-LC-SP-BROAD-RAN-DO-(Linen|Curtains|Blackout)-(LINEN-CURTAIN-52x96-LINEN-2-PCS)-(linen blackout curtains 96 inch long),,state,,paused,enabled,spend_wk,campaign,,,2026-09-15,,,,,,
L0042,ok,refund gate pause,D-Linen Curtains-SP-Exact-Ranking-Fixed-LINEN-CURTAIN-52x96-LIGHT-BEIGE-2-PCS-B0F639YZ3D-G,campaign,D-Linen Curtains-SP-Exact-Ranking-Fixed-LINEN-CURTAIN-52x96-LIGHT-BEIGE-2-PCS-B0F639YZ3D-G,,state,,paused,enabled,spend_wk,campaign,,,2026-09-15,,,,,,
L0043,ok,refund gate pause,D-LC-SP-linen textured curtains bedroom-(Linen)-HSV-Exact-Conv-DO-LINEN-CURTAIN-52x84-NATURAL-2-PCS,campaign,D-LC-SP-linen textured curtains bedroom-(Linen)-HSV-Exact-Conv-DO-LINEN-CURTAIN-52x84-NATURAL-2-PCS,,state,,paused,enabled,spend_wk,campaign,,,2026-09-15,,,,,,
L0044,ok,refund gate pause,D-LC-SP-BROAD-RAN-DO-(Curtains|Room Darkening)-(LINEN-CURTAIN-52x96-LINEN-2-PCS)-(room darkening curtains 96 inch long),campaign,D-LC-SP-BROAD-RAN-DO-(Curtains|Room Darkening)-(LINEN-CURTAIN-52x96-LINEN-2-PCS)-(room darkening curtains 96 inch long),,state,,paused,enabled,spend_wk,campaign,,,2026-09-15,,,,,,
L0045,ok,refund gate pause,D-LC-SP-EXACT-RAN-DO-(Curtains|Blackout|Bedroom)-(LINEN-CURTAIN-52x84-NATURAL-2-PCS)-(bedroom curtains blackout),campaign,D-LC-SP-EXACT-RAN-DO-(Curtains|Blackout|Bedroom)-(LINEN-CURTAIN-52x84-NATURAL-2-PCS)-(bedroom curtains blackout),,state,,paused,enabled,spend_wk,campaign,,,2026-09-15,,,,,,
L0046,ok,refund gate pause,D-LC-SP-BROAD-RAN-DO-(Curtains)-(LINEN-CURTAIN-52x96-LINEN-2-PCS)-(96 curtains 2 panel set),campaign,D-LC-SP-BROAD-RAN-DO-(Curtains)-(LINEN-CURTAIN-52x96-LINEN-2-PCS)-(96 curtains 2 panel set),,state,,paused,enabled,spend_wk,campaign,,,2026-09-15,,,,,,
L0047,ok,refund gate pause,D-LC-SP-PHRASE-RAN-DO-(Curtains|Blackout)-(LINEN-CURTAIN-52x96-BEIGE-2-PCS)-(blackout curtains 96 inch long),campaign,D-LC-SP-PHRASE-RAN-DO-(Curtains|Blackout)-(LINEN-CURTAIN-52x96-BEIGE-2-PCS)-(blackout curtains 96 inch long),,state,,paused,enabled,spend_wk,campaign,,,2026-09-15,,,,,,
L0048,ok,refund gate pause,D-LC-SP-room darkening curtains 96 inches long-(Blackout)-MSV-Exact-Conv-DO-LINEN-CURTAIN-52x96-BEIGE-2-PCS,campaign,D-LC-SP-room darkening curtains 96 inches long-(Blackout)-MSV-Exact-Conv-DO-LINEN-CURTAIN-52x96-BEIGE-2-PCS,,state,,paused,enabled,spend_wk,campaign,,,2026-09-15,,,,,,
L0049,ok,refund gate pause,DLC - SP - phrase-DO- LINEN-CURTAIN-52x84-G2,campaign,DLC - SP - phrase-DO- LINEN-CURTAIN-52x84-G2,,state,,paused,enabled,spend_wk,campaign,,,2026-09-15,,,,,,
L0050,ok,refund gate pause,D-LC-SP-EXACT-RAN-DO-(Curtains|Blackout|Bedroom)-(LINEN-CURTAIN-52x84-NATURAL-2-PCS)-(blackout bedroom curtain),campaign,D-LC-SP-EXACT-RAN-DO-(Curtains|Blackout|Bedroom)-(LINEN-CURTAIN-52x84-NATURAL-2-PCS)-(blackout bedroom curtain),,state,,paused,enabled,spend_wk,campaign,,,2026-09-15,,,,,,
L0051,ok,refund gate pause,D-LC-SP-BROAD-RAN-DO-(Curtains)-(LINEN-CURTAIN-52x96-LINEN-2-PCS)-(curtain 96 inch long),campaign,D-LC-SP-BROAD-RAN-DO-(Curtains)-(LINEN-CURTAIN-52x96-LINEN-2-PCS)-(curtain 96 inch long),,state,,paused,enabled,spend_wk,campaign,,,2026-09-15,,,,,,
L0052,ok,refund gate pause,D-LC-SP-EXACT-RAN-DO-(Curtains|Blackout)-(LINEN-CURTAIN-52x84-NATURAL-2-PCS)-(52 x 84 blackout curtains),campaign,D-LC-SP-EXACT-RAN-DO-(Curtains|Blackout)-(LINEN-CURTAIN-52x84-NATURAL-2-PCS)-(52 x 84 blackout curtains),,state,,paused,enabled,spend_wk,campaign,,,2026-09-15,,,,,,
L0053,ok,refund gate pause,D-LC-SP-PAT-B0GR67MC4D-LINEN-CURTAIN-52x84-NATURAL-2-PCS,campaign,D-LC-SP-PAT-B0GR67MC4D-LINEN-CURTAIN-52x84-NATURAL-2-PCS,,state,,paused,enabled,spend_wk,campaign,,,2026-09-15,,,,,,
L0054,ok,refund gate pause,D-LC-SP-PHRASE-RAN-DO-(Linen|Curtains)-(LINEN-CURTAIN-52x84-NATURAL-2-PCS)-(natural linen curtains),campaign,D-LC-SP-PHRASE-RAN-DO-(Linen|Curtains)-(LINEN-CURTAIN-52x84-NATURAL-2-PCS)-(natural linen curtains),,state,,paused,enabled,spend_wk,campaign,,,2026-09-15,,,,,,
L0055,ok,refund gate pause,D-LC-SP-EXACT-RAN-DO-(Curtains|Blackout|Bedroom)-(52x120-NATURAL-2-PCS)-(blackout curtains for bedroom 120 inches long),campaign,D-LC-SP-EXACT-RAN-DO-(Curtains|Blackout|Bedroom)-(52x120-NATURAL-2-PCS)-(blackout curtains for bedroom 120 inches long),,state,,paused,enabled,spend_wk,campaign,,,2026-09-15,,,,,,
L0056,ok,refund gate pause,D-Linen Curtains-SP-Exact-Ranking-Fixed-LINEN-CURTAIN-52x96-LIGHT-BEIGE-2-PCS-B0F639YZ3D - linen beige curtains,campaign,D-Linen Curtains-SP-Exact-Ranking-Fixed-LINEN-CURTAIN-52x96-LIGHT-BEIGE-2-PCS-B0F639YZ3D - linen beige curtains,,state,,paused,enabled,spend_wk,campaign,,,2026-09-15,,,,,,
L0057,ok,refund gate pause,D-LC-SP-darkening curtains-(Blackout)-HSV-Exact-Conv-DO-LINEN-CURTAIN-52x96-NATURAL-2-PCS,campaign,D-LC-SP-darkening curtains-(Blackout)-HSV-Exact-Conv-DO-LINEN-CURTAIN-52x96-NATURAL-2-PCS,,state,,paused,enabled,spend_wk,campaign,,,2026-09-15,,,,,,
L0058,ok,refund gate pause,D-LC-SP-cortinas blackout-(Blackout-ES)-HSV-Exact-Conv-DO-LINEN-CURTAIN-52x96-NATURAL-2-PCS,campaign,D-LC-SP-cortinas blackout-(Blackout-ES)-HSV-Exact-Conv-DO-LINEN-CURTAIN-52x96-NATURAL-2-PCS,,state,,paused,enabled,spend_wk,campaign,,,2026-09-15,,,,,,
L0059,ok,refund gate pause,D-LC-SP-EXACT-RAN-DO-(Curtains|Blackout)-(LINEN-CURTAIN-52x84-NATURAL-2-PCS)-(textured blackout curtains),campaign,D-LC-SP-EXACT-RAN-DO-(Curtains|Blackout)-(LINEN-CURTAIN-52x84-NATURAL-2-PCS)-(textured blackout curtains),,state,,paused,enabled,spend_wk,campaign,,,2026-09-15,,,,,,
L0060,ok,refund gate pause,D-LC-SP-PAT-B0FKGF76ZQ-LINEN-CURTAIN-52x84-NATURAL-2-PCS,campaign,D-LC-SP-PAT-B0FKGF76ZQ-LINEN-CURTAIN-52x84-NATURAL-2-PCS,,state,,paused,enabled,spend_wk,campaign,,,2026-09-15,,,,,,
L0061,ok,refund gate pause,D-LC-SP-black out linen curtains-(Linen)-HSV-Exact-Conv-DO-LINEN-CURTAIN-52x96-NATURAL-2-PCS,campaign,D-LC-SP-black out linen curtains-(Linen)-HSV-Exact-Conv-DO-LINEN-CURTAIN-52x96-NATURAL-2-PCS,,state,,paused,enabled,spend_wk,campaign,,,2026-09-15,,,,,,
L0062,ok,refund gate pause,D-LC-SP-EXACT-RAN-DO-(Curtains|Blackout)-(LINEN-CURTAIN-52x84-NATURAL-2-PCS)-(blackout curtains 84),campaign,D-LC-SP-EXACT-RAN-DO-(Curtains|Blackout)-(LINEN-CURTAIN-52x84-NATURAL-2-PCS)-(blackout curtains 84),,state,,paused,enabled,spend_wk,campaign,,,2026-09-15,,,,,,
L0063,ok,refund gate pause,D-LC-SP-EXACT-RAN-DO-(Curtains|Blackout)-(LINEN-CURTAIN-52x84-NATURAL-2-PCS)-(84 inch blackout curtains 2 panel set),campaign,D-LC-SP-EXACT-RAN-DO-(Curtains|Blackout)-(LINEN-CURTAIN-52x84-NATURAL-2-PCS)-(84 inch blackout curtains 2 panel set),,state,,paused,enabled,spend_wk,campaign,,,2026-09-15,,,,,,
L0064,ok,refund gate pause,D-LC-SP-EXACT-RAN-DO-(Curtains|Blackout|Bedroom)-(LINEN-CURTAIN-52x84-NATURAL-2-PCS)-(curtains for bedroom blackout),campaign,D-LC-SP-EXACT-RAN-DO-(Curtains|Blackout|Bedroom)-(LINEN-CURTAIN-52x84-NATURAL-2-PCS)-(curtains for bedroom blackout),,state,,paused,enabled,spend_wk,campaign,,,2026-09-15,,,,,,
L0065,ok,refund gate pause,D-LC-SP-EXACT-RAN-DO-(Curtains|Blackout)-(LINEN-CURTAIN-52x96-IVORY-2-PCS)-(ivory blackout curtains 96 inches long),campaign,D-LC-SP-EXACT-RAN-DO-(Curtains|Blackout)-(LINEN-CURTAIN-52x96-IVORY-2-PCS)-(ivory blackout curtains 96 inches long),,state,,paused,enabled,spend_wk,campaign,,,2026-09-15,,,,,,
L0066,ok,refund gate pause,DLC - SP - phrase-DO- LINEN-CURTAIN-52x96-G2,campaign,DLC - SP - phrase-DO- LINEN-CURTAIN-52x96-G2,,state,,paused,enabled,spend_wk,campaign,,,2026-09-15,,,,,,
L0067,ok,refund gate pause,D-LC-SP-cortinas blackout para dormitorio-(Blackout-ES)-VHSV-Exact-Conv-DO-LINEN-CURTAIN-52x96-NATURAL-2-PCS,campaign,D-LC-SP-cortinas blackout para dormitorio-(Blackout-ES)-VHSV-Exact-Conv-DO-LINEN-CURTAIN-52x96-NATURAL-2-PCS,,state,,paused,enabled,spend_wk,campaign,,,2026-09-15,,,,,,
L0068,ok,refund gate pause,D-LC-SP-linen curtains for bedroom-(Linen)-HSV-Exact-Conv-DO-LINEN-CURTAIN-52x84-NATURAL-2-PCS,campaign,D-LC-SP-linen curtains for bedroom-(Linen)-HSV-Exact-Conv-DO-LINEN-CURTAIN-52x84-NATURAL-2-PCS,,state,,paused,enabled,spend_wk,campaign,,,2026-09-15,,,,,,
L0069,ok,refund gate pause,D-LC-SP-EXACT-RAN-DO-(Curtains|Blackout)-(LINEN-CURTAIN-52x84-NATURAL-2-PCS)-(lightweight blackout curtains),campaign,D-LC-SP-EXACT-RAN-DO-(Curtains|Blackout)-(LINEN-CURTAIN-52x84-NATURAL-2-PCS)-(lightweight blackout curtains),,state,,paused,enabled,spend_wk,campaign,,,2026-09-15,,,,,,
L0070,ok,refund gate pause,D-Linen Curtains-SP-Exact-Ranking-Fixed-LINEN-CURTAIN-52x84-NATURAL-2-PCS-B0F639CWS1 - linen pinch pleated curtains,campaign,D-Linen Curtains-SP-Exact-Ranking-Fixed-LINEN-CURTAIN-52x84-NATURAL-2-PCS-B0F639CWS1 - linen pinch pleated curtains,,state,,paused,enabled,spend_wk,campaign,,,2026-09-15,,,,,,
